gene name,geneId,adipose tissue,adrenal gland,appendix,bone marrow,breast,cerebral cortex,"cervix, uterine",colon,duodenum,endometrium,epididymis,esophagus,fallopian tube,gallbladder,heart muscle,kidney,liver,lung,lymph node,ovary,pancreas,parathyroid gland,placenta,prostate,rectum,salivary gland,seminal vesicle,skeletal muscle,skin,small intestine,smooth muscle,spleen,stomach,testis,thyroid gland,tonsil,urinary bladder,max,min,std diviacija,mediana
NIPAL3,ENSG00000001461,10.2,10.6,12.2,5.9,16.5,75.8,16,14.8,11.9,11.2,14,18.3,26.7,16.1,10.2,16.2,1.4,22.8,14.9,10.5,3.9,35.1,5.6,97.4,16.4,7.3,12.2,2.2,15.3,15.9,19.3,11.7,15.2,10.1,55.8,12.3,15.2,97.4,1.4,18.88120565,14.8
LAS1L,ENSG00000001497,17.6,17,23.4,18.8,23.9,27.7,23.1,13.9,10.3,32.5,18.4,17,34.2,16.7,7.7,15,9.7,21.4,27.3,28,3.1,40.6,21.7,25.2,16.9,8.1,26.9,5.1,26.4,13.2,27.1,24,12.3,38.6,24.7,23.4,14.1,40.6,3.1,8.710228406,21.4
ENPP4,ENSG00000001561,16.8,17.8,9.8,25.3,9.7,33.1,15.6,12,11,6.7,14.2,5.7,17.4,12.7,9.8,19.8,4.2,30.8,8.8,2.6,2.5,38.4,5.1,26.4,14,8.9,27.8,7.7,1.6,11.1,10,19.1,13.4,15.5,21,5.9,8.1,38.4,1.6,8.793866147,12
SEMA3F,ENSG00000001617,22.3,6.6,11.7,1.6,10.6,2.3,18.9,7.6,13.5,15.5,6.4,60.5,25,16.8,6.1,11.4,1.4,22.7,4.1,1.7,1.4,6.9,44,22.5,7,9.3,46.7,2.5,89.1,14.1,13.5,33.1,16.2,2.9,27.3,11.6,25.4,89.1,1.4,17.93124235,11.7
CFTR,ENSG00000001626,0.3,0,6,0,0.5,0.4,14.4,45.9,39.2,1.8,1.8,0.9,3.5,89.3,0,0.9,0.9,12.8,0,0.1,45.5,0,0.9,4,49,9.5,0.9,0,0.2,22.6,3.4,0,3.4,2.7,0.2,0.4,1.5,89.3,0,19.17925933,0.9
ANKIB1,ENSG00000001629,14.6,14.8,14.1,4.5,16,36.2,20.4,13,11.6,21.1,20.2,13.7,16.8,24.6,7,28.1,5.6,17.1,15.7,16.3,2.7,46.3,19,17,14.4,6.1,16.5,2.8,18,13.8,20.6,17.9,11.3,38.6,29.9,11.2,16.7,46.3,2.7,9.257034125,16.3
CYP51A1,ENSG00000001630,23.5,77.5,28.6,19.3,48,96.7,41.4,53.3,85.1,36.3,43.9,41.4,27.1,40.1,13.7,41.2,106.7,79.4,15.6,35.9,10.5,123,31.6,70.7,45.3,6.4,24.8,2.4,19.3,44.1,29.8,18.7,43.7,174.1,57.8,15.2,20.9,174.1,2.4,35.21237145,40.1
KRIT1,ENSG00000001631,16.4,19.7,23.9,5.6,17.5,28.5,26.6,13.7,16.1,31.8,15.6,17,26.5,28.4,14,19.5,7.8,20,19.7,28.5,3.6,42.3,24.7,23,15.5,6.4,19.7,6.9,17.1,16.1,23.6,23,15.4,48.7,43.6,17.4,19.8,48.7,3.6,9.814229916,19.7
RAD52,ENSG00000002016,5.2,4.7,6.4,2.1,7.2,7.9,5.1,7.1,5.7,11.6,9.8,3.2,10.3,6.2,2.5,4.8,2.5,5.6,6.8,12.3,1.1,8.8,7.4,8.5,7.5,1.5,8,3.9,10.7,7.1,8.7,7.3,5.1,7.8,13,5.5,5.2,13,1.1,2.882612037,6.8
BAD,ENSG00000002330,31,33.4,18.3,14.7,21.9,48.9,34,29.7,28,26.5,15.5,14.2,41.5,24,23,24.3,12.9,30.5,16.7,21.2,6.5,33.8,32,40.5,16.5,20.7,40.2,10.7,28,27.4,20.8,24.8,41.9,30.5,26.6,11.5,16.5,48.9,6.5,9.771050397,24.8
LAP3,ENSG00000002549,109.2,69.8,176.5,37.4,59.6,67.2,46.8,59.6,78.7,57.5,31,49.4,73,106.7,42.8,110,99.2,148.4,165.5,29.8,6.5,100.5,101.8,59.4,68.5,29.1,43.3,22.9,38.4,68.1,109,129.4,51.2,82.6,77.6,85.8,81.6,176.5,6.5,38.58921607,68.5
CD99,ENSG00000002586,277.4,102.2,141.8,58.2,153.8,131.5,351.7,149.5,136.4,297.6,144.8,195.7,242.8,375.1,131.1,49.7,87.9,191.7,145.8,293.3,42.1,43.2,254.8,323.7,152.4,38.2,331.4,45.5,184.3,184.8,303.4,168.7,90.2,311.5,97.4,106.8,191.2,375.1,38.2,96.55490844,152.4
HS3ST1,ENSG00000002587,0.6,2.1,2.2,1.1,0.5,2.1,1.3,1.5,2.1,2.7,1.5,5.2,2,13.9,0.4,1.6,0.1,1.4,1.4,23.2,0,0.2,0.5,1.5,0.9,1,1.7,0,0.2,1.9,1.2,2.5,4.3,1.5,0.5,1,5.6,23.2,0,4.187036936,1.5
AOC1,ENSG00000002726,0.8,0.2,16.5,1.2,0.2,0.7,10.7,139.7,183.2,3.2,2.2,1.3,0.2,2.8,0.4,146.1,2.8,0.9,1.6,0.4,0.3,0,716.9,10,100.1,0.3,1.5,0,1.5,247.6,5.4,0.7,17.9,4,0.4,3.6,1.7,716.9,0,126.1769685,1.6
WNT16,ENSG00000002745,0,0.4,0.4,0,1.9,0.5,8.6,0.1,0.1,0.2,0,0.2,0.3,0.3,0,0.1,0,0,1.2,0,0,0,0.5,1.1,0.2,0,2.5,0,24.3,0.3,0.3,1.2,0,0.1,0,0.3,0.4,24.3,0,4.106808116,0.2
HECW1,ENSG00000002746,0.2,0.1,0.3,0.4,0.3,10.9,0.1,0.2,0,0.3,1.5,1.2,0.2,2.9,0,8.2,0,0.2,0.6,0.4,0,1.1,0.2,2.3,0.1,0.1,0.3,0.3,1.1,0.1,0.2,0.2,0.3,3.4,1,0.2,0.5,10.9,0,2.195230237,0.3
MAD1L1,ENSG00000002822,9,7.4,16.2,11,7.4,15.4,9.9,7.3,6.9,11.2,5.5,10.4,11.1,10.8,5.3,5,7.1,13.4,23.3,7.7,1.3,9.3,8.9,9.6,5.6,3.3,8.4,5.1,16.4,6.8,11.6,22,7.3,17.6,10.5,11.2,10.5,23.3,1.3,4.666718494,9.3
LASP1,ENSG00000002834,93.8,37.2,99,77.3,51.2,76.2,69,88.3,128.9,65,37.7,35.5,71.9,84.4,15.8,47.4,30.1,96.1,83.5,58.3,9.3,34.9,112.4,42.4,95.8,16.1,45.5,8.1,50.5,181.3,70.9,98.7,88.2,35,39.4,67.9,60.4,181.3,8.1,35.24550606,65
SNX11,ENSG00000002919,17.1,11.5,24.1,14.1,13.2,17.6,11.2,12.7,8.5,15.3,17.5,19.3,14.8,14.4,7,15.2,6,17.6,25.1,9.4,2.3,16.7,16.4,14.6,13.7,5,13.4,3.6,11.3,9.9,23.1,24.5,8.8,20.3,32.1,25.2,15.4,32.1,2.3,6.452545208,14.6
TMEM176A,ENSG00000002933,87.2,44.5,172.5,4.6,57.1,23.8,62.4,136,115.8,31,18.7,34.2,47.3,218.6,36,385.5,583.9,72.1,98,96.6,4.8,5.7,92.1,15.1,168.1,4.3,19.6,1.6,12.6,230.5,67,48.7,38.1,12.1,8.4,62,113.3,583.9,1.6,113.95392,48.7
M6PR,ENSG00000003056,87.9,75.6,144.7,63.4,92.7,79.4,84.9,71.1,53,111.9,66.4,65.5,103.5,108.8,49,74.4,36.2,135.9,148.1,72.4,11.6,118.7,103.4,96.1,93.9,32,95.2,17.3,62.8,64.8,113.8,175.3,67.5,105.6,145.6,105.7,90.4,175.3,11.6,35.81089689,87.9
KLHL13,ENSG00000003096,3.2,9.6,3.6,0.2,31.7,7.9,31.4,3.9,3.1,52.6,8.9,6.7,17.4,8.9,5.1,16.9,2.4,2.1,0.7,9.2,0.9,7.3,1.1,10.2,4.4,1,17.2,1.2,0.6,5.4,43.9,2.3,1.4,6.9,0.9,1.1,7.4,52.6,0.2,11.98885957,5.1
CYP26B1,ENSG00000003137,19.7,3.3,3,0,3.9,12.2,8.2,2.5,3.7,2.4,1.8,3.7,4.2,1.9,4,4.4,0.3,4.2,5.6,5.8,0,1.4,4.8,2,1.3,1.5,9.9,0.4,25,2.8,2.2,2.2,0.3,27.1,15.3,2.6,1.8,27.1,0,6.454700271,3
ICA1,ENSG00000003147,15.2,12,5.2,13.6,26,22.4,25,21.9,11.5,10,16.4,5.5,21,14.2,27.2,12.9,3.4,15.3,12.3,0.7,10.3,33.4,10.7,34.4,25.3,14.5,6.9,0.6,13.4,18.2,8.1,9.2,28,42.6,19.6,8.8,13,42.6,0.6,9.427842142,13.6
DBNDD1,ENSG00000003249,1.8,8.2,2.6,0.2,5.1,24,3,1.5,1.5,1.4,10.7,14.7,5.4,5.4,2,5.2,1.8,3.8,4.4,3,2.9,8.9,0.2,5,1.4,5.1,4.4,15.6,4.2,0.8,1.6,1.6,3.7,1.1,4.3,4,1.8,24,0.2,4.758352005,3.7
ALS2,ENSG00000003393,8.4,6.7,6.3,5.9,10.1,16.6,8.7,4.9,7.9,12.8,12.6,5.3,10.9,10.3,13.6,11.1,9.7,12.3,5.6,8.2,1,13.8,10.9,10.6,6.7,1.7,7.5,4.9,8.6,9.9,11,8.1,6.7,12.4,12.8,4.5,6.7,16.6,1,3.397891754,8.6
CASP10,ENSG00000003400,7.5,2.6,12,12.7,5.2,2.5,4.9,13.2,21.9,5.5,7.4,8,8.9,11.8,2.4,5.5,3.2,15.9,10,1.2,0.6,2.8,13.7,2.9,14.7,1.5,4.2,1.6,6.7,20.7,7.5,24.1,9.7,2.2,8,9.6,13,24.1,0.6,5.921523554,7.5
CFLAR,ENSG00000003402,133.4,64.3,140.2,159.9,62.3,29.4,52.7,53.5,59.4,92.6,73.9,74.7,63.1,113.5,81.7,59,30.9,136.6,104.2,34.2,8.6,46.4,135.1,75,62.7,22.9,87.2,31.3,44.7,69.5,86.3,118,51.3,46.7,87.4,98.1,69.7,159.9,8.6,35.89797063,69.5
TFPI,ENSG00000003436,63.5,15.9,27,5,51.7,6.5,61.5,20.8,49.4,41.1,21.9,36.5,51.6,88.9,17.5,57.8,136.2,149.1,35.9,32.3,2.4,6.2,267,21.7,28.8,2.6,16.7,3.7,12.2,44.7,41.4,28.2,12.2,12.8,25.9,15.1,55.5,267,2.4,49.52094037,28.2
NDUFAF7,ENSG00000003509,6.1,12.9,7,3.9,7.5,8.2,9.8,5.7,4.7,10.8,9.7,5.2,6.3,9.4,9.7,9.8,5.4,7.2,7.9,6.2,1.1,10.8,8.4,8.7,6.5,1.9,7.6,6,4.5,6.1,10.7,7.1,4.4,69.1,6.9,5.3,6.3,69.1,1.1,10.35082279,7
RBM5,ENSG00000003756,45.8,45.4,58.2,40.3,65.7,63.4,61.8,43.2,37.2,112.7,77.4,34.6,92.5,62.7,23.6,33.4,16.6,63.6,76.8,100,9.6,83.7,85.4,82.3,52.4,19.8,65,17.3,95.9,47,79.7,78.6,42.8,84.7,69.7,63.3,40.9,112.7,9.6,25.21786009,62.7
MTMR7,ENSG00000003987,0.4,3,1,1.1,0.1,22.9,0.4,0.3,0.7,1,0,0.4,0.7,0.8,0.3,1,0.4,0.6,0.7,1.9,0.2,15.2,0.9,0.4,0.3,0.1,0.3,0.3,1.3,0.7,0.3,0.6,0.6,2.4,5.5,0,0.4,22.9,0,4.330814387,0.6
SLC7A2,ENSG00000003989,18.2,14.9,4.8,0.1,19.2,12,51.5,3.8,2.4,21.9,21.7,12.4,68,17.6,7.8,8.7,92.6,10.8,3.1,60.7,17.6,380.7,13.9,22.8,4.7,2,10,33.3,5.4,2.9,19.5,3.7,4.8,29,74.9,3.2,7.7,380.7,0.1,62.48807091,12.4
ARF5,ENSG00000004059,64.5,73.4,82.7,80.4,85,127,112.8,72.7,79.8,82.1,116.7,163.9,140.8,113,64,47.7,36.2,85.7,99.6,57.4,30.8,85.5,87.8,101,56.6,36,88.9,26.2,176.2,94.2,83.7,76.5,73,76.8,94.8,59.2,96.1,176.2,26.2,32.49475184,82.7
SARM1,ENSG00000004139,2.2,4.5,4.6,0.8,1.7,7.1,2.5,2,7.5,4.8,4.9,1.4,5.2,2.4,1,1.9,0.6,3,2.3,2.3,0.6,5.8,1.8,5,2.4,1,5.9,0.5,2.7,5.4,5.2,4.4,2.6,1.9,4.5,1.9,2.6,7.5,0.5,1.886002416,2.5
POLDIP2,ENSG00000004142,58.5,107.3,49,29.4,52.1,75.5,62.9,54.3,49.6,55.7,55.6,64.8,68.5,50.4,71.6,109.1,86.4,48.8,42.9,46.9,16.3,93.4,47.1,69.5,63.4,25.2,67.6,96.6,54.1,46.6,78.7,45.7,45,89.1,77,46.9,44.6,109.1,16.3,20.94217194,55.6
PLXND1,ENSG00000004399,84.2,22.2,50.3,16.2,28.7,30.5,90.4,19.3,6,54.8,21.4,23.7,55.6,61.7,24.1,14.3,9.5,101.2,38.8,18.7,2.5,36.7,161.3,21.3,18.7,4.2,37.3,4.4,22.9,11,76.2,45.8,11.3,20.7,39.6,21.5,46,161.3,2.5,32.039385,23.7
AK2,ENSG00000004455,87,82.7,93.5,46.9,95,39.2,104.7,109.1,128.5,85.5,65,78.9,96,73.7,48.7,183.3,82.8,80.5,79.8,58.5,13.1,143.8,93.3,90.4,117.7,28.3,71.5,45.4,68.3,143.6,94.2,75,80.3,74.6,136.1,94.5,66.9,183.3,13.1,33.21758689,82.7
CD38,ENSG00000004468,3.4,3.4,17.4,8.9,2.2,24.7,0.8,4.3,5.8,1.5,1.5,1.2,4.8,2.9,0.8,0.7,1.7,9.4,26.8,0.8,0,0.2,0.7,21.8,3.9,1.2,27.6,7.2,0.3,4.9,1.9,23.2,2.7,1.8,2,16.4,12,27.6,0,8.254208923,2.9
FKBP4,ENSG00000004478,21.7,41.7,29.9,14.9,65.6,60.4,42.9,34.9,20.4,49.7,54.3,48.3,61.7,39.1,14.7,50.5,21.1,24,22.8,41,9.7,70.4,71.3,71.6,41.6,20.8,63,19.1,46.7,28.1,58.4,20.9,30.4,107.4,74.3,27,31.2,107.4,9.7,21.45171894,41
KDM1A,ENSG00000004487,22.5,37.4,33.9,35,40.9,38.6,40.9,30.4,26.6,65,64.5,30.1,57.4,41.2,15.3,29,12,35.6,41.9,52.8,5.4,68.8,47.5,55.5,40.3,12.7,46.9,13.6,48.8,29.5,46.7,32.4,23,163.3,50.9,36.4,35.6,163.3,5.4,25.31138208,37.4
RBM6,ENSG00000004534,35.6,49.7,53.7,28.8,39.9,46.6,49.5,31.6,40.3,81.8,40.7,21.3,51.6,41.3,15.6,23.3,12.4,52.8,66.6,59.2,4.9,83.7,41.5,53.3,41.8,14.2,47.8,12.9,56.5,43.2,59.8,60.2,27,64.9,41.8,43.5,29.6,83.7,4.9,18.23819109,41.8
CAMKK1,ENSG00000004660,4.9,12.9,7.1,2.6,5.6,51.5,4.4,2.9,2.9,12,5.8,4.4,5.5,5.6,3.7,1.3,0.3,5.7,2.9,6.8,1.5,7.4,2.9,4.7,3,12.5,14.7,0.7,9.3,4,8.8,6.1,2.6,11.6,11.8,2.1,6.5,51.5,0.3,8.267977955,5.5
RECQL,ENSG00000004700,34.4,23.7,49.1,12.5,23.7,15.1,30.3,15.7,12.1,40,17.2,23.3,26.4,34.5,18.8,17,8.5,35.7,51.1,19.5,2.2,19.5,33,27.2,21.3,4.7,25.3,4.2,23.4,16.4,46.1,45.7,14.4,20.6,29.7,37,35.9,51.1,2.2,12.33656872,23.4
VPS50,ENSG00000004766,8.5,12,11.4,3.4,18,25.4,12.5,11,8,16.5,13.8,10.5,11.6,11,5.8,14.3,4.3,13.6,13.4,12.2,1.6,25,12.7,15.1,13.6,3.4,12.6,4.2,13.9,8.4,14.6,14.1,9.3,18.3,17.8,10,10.6,25.4,1.6,5.180761738,12.2
HSPB6,ENSG00000004776,666.5,292.4,60.4,0.3,38.5,21.7,220.7,72,28.8,136,123.9,124.3,146,153.9,477.9,11.5,7.8,48,6.4,203.7,6.1,6.5,57.6,247.3,50,7.9,272.4,843,3.6,43.2,395.3,7.8,14.8,56.6,7.9,2.5,159.3,843,0.3,188.4524107,56.6
ARHGAP33,ENSG00000004777,3.1,5.7,5.5,13.2,2,25.8,3.4,2,4,8.2,1.6,2,5.3,4.3,1.7,1.5,0.4,3.9,6.7,8.5,0.9,5.5,2.4,5.1,1.5,2.4,4.7,1,9.7,3.9,3,6.8,4.1,22.5,3.8,2.1,1.8,25.8,0.4,5.285790039,3.9
NDUFAB1,ENSG00000004779,76.7,97.6,60.6,33.2,74.9,102.1,56.2,96,93.5,56.4,53.9,44.7,76.3,43.7,179.6,103.2,59.5,48.9,53,36.8,11.2,101.3,60.9,74.7,86.5,26.2,73.2,135.5,42.9,89,65.7,50.1,58.5,62.7,67.4,47.8,44.4,179.6,11.2,30.94349807,60.9
PDK4,ENSG00000004799,474.4,283.5,44.6,1.4,225.7,22.1,61.1,83.1,73.8,56.7,12.8,168.2,123,130.2,29.3,139,110.6,60.3,26.4,290.9,117.6,6,151.3,52.8,48,6.6,763,20.3,3.5,187.9,94.3,112,62,25.8,86.9,12.5,37.5,763,1.4,144.9127559,62
SLC22A16,ENSG00000004809,0.4,0,0.9,12.9,0,0,0.4,0,0,1.3,0,0,0.1,0.2,0,0,0,0.2,0,0,0,16.3,0.7,0.1,0,0,0,0,0,0,2.7,0.1,0,38.6,0,0,0.1,38.6,0,6.937467746,0
ZMYND10,ENSG00000004838,0.1,0.1,0.5,0.4,1.6,1.3,4.8,0.1,0.2,3.5,2.3,0.3,231.5,0.8,0.1,0.8,0.1,15.8,0.3,0.4,0.1,5.3,0.2,0.3,0.1,0.1,0.6,0.1,0.6,0.1,0.7,0.6,0.2,284.6,3.3,0.1,0.2,284.6,0.1,58.44480393,0.4
ABCB5,ENSG00000004846,1.1,0,0.3,0.2,2.5,0.1,0.7,1.3,0.1,1.1,32.3,0.1,0.3,4.3,0.2,0,0,0.2,0.1,0,0,0.1,0.1,0.3,0.6,0,0.4,0,0.1,0.3,1,0,0.1,1,0.1,0,1.2,32.3,0,5.222225918,0.2
ARX,ENSG00000004848,0,0,0,0,0.4,6.7,0,0.9,3.5,0,0.1,0.1,0.3,0,0,0.1,0,0.6,0,97.7,0.3,8.5,0,0.2,0.9,0,0,9.2,0,0.8,0,0.3,6.1,14,0.1,0.4,0,97.7,0,15.92036198,0.1
SLC25A13,ENSG00000004864,8.8,16.8,12.1,5,12.7,11.5,11,16.1,16.3,12.7,12.5,9.8,15.3,15.7,3.9,33.8,77.3,9.9,8.3,9.4,2,22.3,23.2,12.3,19.7,2.5,17.6,1.6,14.1,14.7,9.9,11.8,13.6,13.9,23,7.9,10.3,77.3,1.6,12.21156752,12.5
ST7,ENSG00000004866,15.3,25.5,9.2,11.4,19.4,20.2,30.6,10.5,12.9,24.9,47,11,32.2,20.1,11.2,31.4,21.4,39.3,8.8,24,7,34.9,31.2,23.4,14,9,30.3,4.5,13.4,12.8,19.4,14.7,15,40.2,51,8,13.2,51,4.5,11.53179427,19.4
CDC27,ENSG00000004897,26.5,20.1,27,17.1,22.5,37.4,27.7,15,14.7,34.6,16.1,18.4,24.7,29.3,15.6,16.5,11.5,26.9,27.6,21,3,42.9,36.7,24.7,19.6,5.2,21.7,7.7,14.4,15.4,35.7,26.4,14.9,46.2,71.5,22,22.2,71.5,3,12.45458661,22
SLC4A1,ENSG00000004939,0.4,0.5,0.8,238,0.4,1,0.4,0.3,0.6,0.4,0.7,0.5,0.7,0.9,0.3,30,0.2,0.7,0.7,0.5,0.1,0.1,15.3,0.3,0.3,0.2,0.3,0.9,1.1,0.5,0.1,1.4,0.4,0.8,0.7,0.2,0.2,238,0.1,38.6751408,0.5
CALCR,ENSG00000004948,0.1,0.3,0,0,0.5,0.1,0.2,0.1,0,0.1,0,0.1,0,0.2,0.1,2.1,0,0.4,0,0.2,0,0.1,1,0.1,0.1,0,0,0.4,0,0.1,0.1,0,0,1.4,0,0,0,2.1,0,0.422849909,0.1
HCCS,ENSG00000004961,17.7,22.1,20.5,13.8,18.2,21.6,15,24.9,27.8,14.5,9.7,21.2,16.9,20.3,31.5,22.3,13.6,17.9,20.4,10.7,2.6,27.9,22.6,18.3,25.9,6.9,16.5,25.9,14.3,26,19.7,24.1,16.7,22.1,21.3,17.9,21.5,31.5,2.6,5.91693784,20.3
DVL2,ENSG00000004975,13.6,16.4,15,9.3,13,19.2,24.1,11.6,13,32.9,12.7,24.8,28.6,22,8.7,8,3.1,18.6,19.2,36.1,2.7,24.3,21,28.2,9.3,6.6,25.4,4.5,21.8,13,26.6,18.2,9.7,24.9,25.2,12,14.8,36.1,2.7,8.277765549,16.4
PRSS22,ENSG00000005001,0,0,0.1,0,0.5,0,2.2,1.1,1.1,2,0,7.7,1,2.8,0,0.9,0,2.2,0,0,0.6,1.8,1.6,3,0,3.1,2.3,0,0.2,0,0,0,11.1,0,0.7,2.9,2.2,11.1,0,2.216502948,0.6
UPF1,ENSG00000005007,24.4,25.1,29.4,16.5,13.6,28,22.6,18.4,21.6,25.3,9.8,19.8,29.7,27.4,10.7,17.4,8.5,22.6,29,23.5,8.8,56.7,31.9,33.6,11.6,16,31.6,7.9,25.8,22.4,20.1,33.7,22.2,47.5,29.8,15.2,19.5,56.7,7.9,10.09351237,22.6
SKAP2,ENSG00000005020,34.6,30.2,39.1,13.4,19.2,21.8,14.5,22.1,15.3,8.1,20.7,14.6,21.1,21.4,2.5,28.6,5.8,36.4,35.5,22.2,1.2,54.6,11,13.9,23,2.2,16,2,12.5,22.6,17.8,48,11.6,28,11.6,26.2,31,54.6,1.2,12.29859631,20.7
SLC25A5,ENSG00000005022,172.8,160,243.3,167.6,205.1,161.6,136.3,468.1,769.6,154.8,80.6,326.5,145.5,164.1,132.9,526.4,178.8,207.2,301.5,93,121.3,214.9,203.4,136.6,569.4,112.9,151.2,9.8,213.5,638.1,227.7,194.1,351.9,105.4,222.6,279.9,225,769.6,9.8,160.3647512,194.1
MCUB,ENSG00000005059,8.8,2.6,24.2,6.4,9.4,6.1,8.3,5.1,3.7,14,1.8,6,6.5,12.1,3.3,1.2,1.1,10.5,36.2,6.8,0.2,3.5,8.5,3.3,6.9,0.8,2.9,0.5,6.8,5.7,11.7,18.4,4.2,5.5,2.1,23,8.7,36.2,0.2,7.333286628,6.1
HOXA11,ENSG00000005073,0.8,0.8,2,0,0.1,0,17.9,6.1,0,96.3,0,0,0,0,0,3.5,0,0,0.3,0.3,0,0,15.5,16.8,4.5,0,14.2,2.2,0.2,0,68.5,0,0,0.7,0,0,5.8,96.3,0,18.99253131,0.1
POLR2J,ENSG00000005075,46.1,72.4,48.7,56.2,46,57.1,57.9,42.8,46.6,44.6,66.5,39.9,63.4,50.6,52.7,36.8,34,43.6,51.9,52.1,12.1,50.2,46.6,57.6,36.9,26.2,54,61.9,47.3,48.5,41.3,53.9,41.1,49.1,61.3,36.6,38.2,72.4,12.1,11.25389503,48.5
DHX33,ENSG00000005100,6.3,5.1,8.6,2.8,8.5,13.5,6.8,4.4,4.8,10.2,5,5.9,8,6.5,2.7,4.6,3.4,6.4,7,6.5,1.3,13.6,9,7.8,6.2,2.1,7.6,1.6,8.1,5.1,8.7,6.8,4.5,8.3,8.5,5.3,5.5,13.6,1.3,2.750031542,6.4
MEOX1,ENSG00000005102,25.3,0.7,6.4,0,4.6,0,5.8,2.8,1.7,5.1,1.3,4.4,4,9.3,14.9,0.1,0,2.3,8.2,0.6,0,3.2,0.3,2.1,2.9,0.7,2.7,3,6.2,1.1,15.7,16.4,1.2,2.3,0.8,5.6,9.2,25.3,0,5.503209768,2.8
