# Expression Atlas
# Query: Genes matching: 'default query', specifically up/down differentially expressed in 1 comparisons  given the adjusted p-value cutoff 1 and log2-fold change cutoff 0 in experiment E-GEOD-60052
# Timestamp: Thu, 28-Mar-2019 18:45:39
Gene ID	Gene Name	'small cell lung carcinoma' vs 'normal' .foldChange	'small cell lung carcinoma' vs 'normal'.pValue
ENSG00000006283	CACNA1G	2.0	0.00734126500792873
ENSG00000006327	TNFRSF12A	-1.5	0.100042338551148
ENSG00000006377	DLX6	1.6	0.0481042082441511
ENSG00000006432	MAP3K9	1.3	2.43549122435873E-4
ENSG00000006451	RALA	0.1	0.859116953233272
ENSG00000006453	BAIAP2L1	0.1	0.870665401655619
ENSG00000006459	KDM7A	0.1	0.905489838964256
ENSG00000006468	ETV1	-0.6	0.434524756383518
ENSG00000006530	AGK	0.3	0.508109162020365
ENSG00000006534	ALDH3B1	-2.2	7.0063879339376E-6
ENSG00000006555	TTC22	0.8	0.452916417819425
ENSG00000006576	PHTF2	0.7	0.132573252985258
ENSG00000006606	CCL26	1.2	0.48967687204024
ENSG00000006607	FARP2	0.1	0.724958773313295
ENSG00000006611	USH1C	3.5	5.7603226695193E-7
ENSG00000006625	GGCT	1.4	0.0253806697937633
ENSG00000006634	DBF4	1.5	0.00509804506457562
ENSG00000006638	TBXA2R	0.9	0.217750459823289
ENSG00000006652	IFRD1	-0.5	0.385319649873264
ENSG00000006659	LGALS14	2.2	0.13709992269516
ENSG00000006704	GTF2IRD1	0.7	0.0231351463397929
ENSG00000006712	PAF1	0.1	0.783240266501808
ENSG00000006715	VPS41	0.1	0.827856035770693
ENSG00000006740	ARHGAP44	-1.0	0.119406078119482
ENSG00000006744	ELAC2	-0.4	0.319869658638247
ENSG00000006747	SCIN	0.8	0.30755413094523
ENSG00000006756	ARSD	-0.5	0.385412766631301
ENSG00000006757	PNPLA4	-0.2	0.887451600157293
ENSG00000006788	MYH13	0.3	0.868198256605975
ENSG00000006831	ADIPOR2	-1.0	0.00125272248567114
ENSG00000006837	CDKL3	1.6	0.0315669630258219
ENSG00000007001	UPP2	-0.1	0.945234163302683
ENSG00000007038	PRSS21	0.8	0.691276782012574
ENSG00000007047	MARK4	0.5	0.188779838713203
ENSG00000007062	PROM1	2.2	2.20228501293991E-4
ENSG00000007080	CCDC124	0.6	0.273142515233273
ENSG00000007129	CEACAM21	0.2	0.903298788791864
ENSG00000007168	PAFAH1B1	-0.4	0.380956636517644
ENSG00000007171	NOS2	-1.0	0.353537597067933
ENSG00000007174	DNAH9	-1.3	0.170503645896609
ENSG00000007202	KIAA0100	0.1	0.799411208396269
ENSG00000007216	SLC13A2	0.8	0.607035832476189
ENSG00000007237	GAS7	-1.3	0.0392548393878405
ENSG00000007255	TRAPPC6A	0.6	0.483808635478711
ENSG00000007264	MATK	-0.2	0.923305612320019
ENSG00000007306	CEACAM7	0.9	0.501296827018204
ENSG00000007312	CD79B	1.5	0.282810290969856
ENSG00000007314	SCN4A	1.8	0.165531757769558
ENSG00000007341	ST7L	1.0	0.00214981462841342
ENSG00000007350	TKTL1	0.6	0.738806479431502
ENSG00000007372	PAX6	1.4	0.0583677343056008
ENSG00000007376	RPUSD1	0.8	0.318916840132872
ENSG00000007384	RHBDF1	-0.8	0.423158714472895
ENSG00000007392	LUC7L	0.1	0.745579226792055
ENSG00000007402	CACNA2D2	-2.6	1.85285671747459E-5
ENSG00000007516	BAIAP3	0.7	0.347045841001749
ENSG00000007520	TSR3	-0.1	0.85317637177891
ENSG00000007541	PIGQ	0.5	0.410213019160974
ENSG00000007545	CRAMP1	0.1	0.868505292148805
ENSG00000007866	TEAD3	-0.7	0.274007038148735
ENSG00000007908	SELE	-0.7	0.655371798320011
ENSG00000007923	DNAJC11	0.3	0.576573026035011
ENSG00000007933	FMO3	-1.0	0.272995317695204
ENSG00000007944	MYLIP	-0.8	0.132380720519288
ENSG00000007952	NOX1	0.1	0.96681854908035
ENSG00000007968	E2F2	2.7	3.8372518182812E-8
ENSG00000008018	PSMB1	0.2	0.68814818036775
ENSG00000008056	SYN1	2.5	1.3484560531743E-6
ENSG00000008083	JARID2	-0.1	0.826561475370487
ENSG00000008086	CDKL5	-0.4	0.444521036664273
ENSG00000008118	CAMK1G	0.7	0.680711414552258
ENSG00000008128	CDK11A	0.3	0.643353161082014
ENSG00000008130	NADK	-0.2	0.707426002332844
ENSG00000008196	TFAP2B	3.4	0.00103842730529791
ENSG00000008197	TFAP2D	2.1	0.113963336992801
ENSG00000008226	DLEC1	-1.9	0.0207002599085071
ENSG00000008256	CYTH3	-0.9	0.0377652003868734
ENSG00000008277	ADAM22	1.9	8.324932485971E-5
ENSG00000008282	SYPL1	-0.9	0.0690510896536657
ENSG00000008294	SPAG9	-0.5	0.130550800123895
ENSG00000008300	CELSR3	2.8	1.00457570585204E-8
ENSG00000008311	AASS	-1.5	0.00610703554457899
ENSG00000008323	PLEKHG6	-0.9	0.164450951091895
ENSG00000008324	SS18L2	-0.1	0.919874033270665
ENSG00000008382	MPND	0.7	0.202506874231296
ENSG00000008405	CRY1	-0.1	0.931193134915027
ENSG00000008438	PGLYRP1	1.6	0.205228971926119
ENSG00000008441	NFIX	-0.5	0.390625820839667
ENSG00000008513	ST3GAL1	-0.9	0.130257687348022
ENSG00000008516	MMP25	-1.9	0.0131727842358791
ENSG00000008517	IL32	-2.2	0.00301592418053052
ENSG00000008710	PKD1	0.8	0.192017223285254
ENSG00000008735	MAPK8IP2	2.5	4.26644434704926E-8
ENSG00000008838	MED24	-0.3	0.554938863781447
ENSG00000008853	RHOBTB2	-1.8	4.12141789450936E-8
ENSG00000008869	HEATR5B	-0.8	8.58264163783925E-4
ENSG00000008952	SEC62	-0.5	0.368197590670355
ENSG00000008988	RPS20	0.2	0.78451893387991
ENSG00000009307	CSDE1	-0.1	0.825668243825356
ENSG00000009335	UBE3C	0.2	0.638787942526547
ENSG00000009413	REV3L	0.5	0.113366632274254
ENSG00000009694	TENM1	-0.2	0.860028323149321
ENSG00000009709	PAX7	0.7	0.69297603931837
ENSG00000009724	MASP2	0.6	0.321612742006582
ENSG00000009765	IYD	1.6	0.067839657481441
ENSG00000009780	FAM76A	-0.4	0.421470337470514
ENSG00000009790	TRAF3IP3	-0.5	0.502914567180707
ENSG00000009830	POMT2	0.9	0.0132351919794903
ENSG00000009844	VTA1	0.2	0.632114092253971
ENSG00000009954	BAZ1B	0.6	0.11346435160093
ENSG00000010017	RANBP9	0.4	0.441413568310198
ENSG00000010030	ETV7	1.0	0.246542923029648
ENSG00000010072	SPRTN	0.4	0.605004355733862
ENSG00000010165	EEF1AKNMT	0.7	0.0573783894626594
ENSG00000010219	DYRK4	0.2	0.758179518935533
ENSG00000010256	UQCRC1	-0.1	0.824542960065502
ENSG00000010278	CD9	-2.1	6.09990469334204E-4
ENSG00000010282	HHATL	0.4	0.804985795791984
ENSG00000010292	NCAPD2	1.3	0.00323241951831033
ENSG00000010295	IFFO1	-1.2	0.113325729676034
ENSG00000010310	GIPR	0.8	0.332840700842149
ENSG00000010318	PHF7	0.3	0.697719526991461
ENSG00000010319	SEMA3G	-2.9	5.98338338194679E-5
ENSG00000010322	NISCH	-0.7	0.0604022110495508
ENSG00000010327	STAB1	-1.6	0.00719126277489818
ENSG00000010361	FUZ	1.3	0.0233178077537851
ENSG00000010404	IDS	-0.6	0.146514690217297
ENSG00000010438	PRSS3	1.2	0.369931973429674
ENSG00000010539	ZNF200	0.4	0.548397607552881
ENSG00000010610	CD4	-1.3	0.0494602479363643
ENSG00000010626	LRRC23	-0.3	0.785676953083612
ENSG00000010671	BTK	-0.9	0.384206127741288
ENSG00000010704	HFE	0.5	0.533129094785376
ENSG00000010803	SCMH1	0.4	0.2448819689356
ENSG00000010810	FYN	-0.3	0.589032747933622
ENSG00000010818	HIVEP2	-1.1	0.0135699575968277
ENSG00000010932	FMO1	-0.1	0.970477255883972
ENSG00000011007	ELOA	0.1	0.847368264768516
ENSG00000011009	LYPLA2	0.1	0.851030437849734
ENSG00000011021	CLCN6	0.1	0.781829853909673
ENSG00000011028	MRC2	-1.6	0.0076234741733308
ENSG00000011083	SLC6A7	1.8	0.201935715781477
ENSG00000011105	TSPAN9	-1.3	0.00244279920298145
ENSG00000011114	BTBD7	0.2	0.727075182273557
ENSG00000011132	APBA3	0.7	0.143983604876203
ENSG00000011143	MKS1	1.0	0.033235155382045
ENSG00000011198	ABHD5	-1.3	0.00919129486307035
ENSG00000011201	ANOS1	-1.6	0.00590237238069725
ENSG00000011243	AKAP8L	0.4	0.44053855112652
ENSG00000011258	MBTD1	0.6	0.087690303354209
ENSG00000011260	UTP18	0.7	0.154249247679492
ENSG00000011275	RNF216	-0.2	0.487530031959455
ENSG00000011295	TTC19	-0.1	0.789795437243005
ENSG00000011304	PTBP1	0.5	0.162194903041653
ENSG00000011332	DPF1	1.4	0.0340054664747015
ENSG00000011347	SYT7	2.0	3.87723462270558E-4
ENSG00000011376	LARS2	-0.5	0.320200763334936
ENSG00000011405	PIK3C2A	-0.6	0.14038852769198
ENSG00000011422	PLAUR	-0.3	0.695603101632909
ENSG00000011426	ANLN	1.2	0.0465291556576432
ENSG00000011451	WIZ	0.3	0.500461950335733
ENSG00000011454	RABGAP1	-0.1	0.747262238181144
ENSG00000011465	DCN	-2.1	0.00317354630326592
ENSG00000011478	QPCTL	0.9	0.160705803873841
ENSG00000011485	PPP5C	0.5	0.108105593931014
ENSG00000011523	CEP68	-0.4	0.148220876168005
ENSG00000011566	MAP4K3	-0.4	0.390625820839667
ENSG00000011590	ZBTB32	0.4	0.63748902320043
ENSG00000011600	TYROBP	-1.4	0.0839808745434718
ENSG00000011638	TMEM159	-0.3	0.801421271715818
ENSG00000011677	GABRA3	1.1	0.386430890365618
ENSG00000012048	BRCA1	1.4	6.99226815278987E-4
ENSG00000012061	ERCC1	-0.4	0.366440556180589
ENSG00000012124	CD22	0.1	0.958975550315078
ENSG00000012171	SEMA3B	-1.6	8.41970120422027E-4
ENSG00000012223	LTF	-0.2	0.885891547126908
ENSG00000012232	EXTL3	0.8	0.105672178221648
ENSG00000012504	NR1H4	0.4	0.830034460751177
ENSG00000012660	ELOVL5	-0.1	0.904004059467043
ENSG00000012779	ALOX5	-1.8	3.42114891248414E-4
ENSG00000012817	KDM5D	-0.9	0.379415301025028
ENSG00000012822	CALCOCO1	-0.7	0.00723162815433438
ENSG00000012963	UBR7	1.4	0.00120314251480867
ENSG00000013016	EHD3	-1.4	0.00919200769019246
ENSG00000013275	PSMC4	-0.1	0.925674630995423
ENSG00000013288	MAN2B2	-0.3	0.395066189978023
ENSG00000013293	SLC7A14	1.8	0.00227307871192581
ENSG00000013297	CLDN11	0.9	0.156550317833133
ENSG00000013306	SLC25A39	0.5	0.289671456078204
ENSG00000013364	MVP	-1.3	0.00648967770939832
ENSG00000013374	NUB1	-0.1	0.847109660733501
ENSG00000013375	PGM3	-0.1	0.870575039326563
ENSG00000013392	RWDD2A	-0.2	0.836587029027678
ENSG00000013441	CLK1	-0.1	0.802613955242836
ENSG00000013503	POLR3B	0.4	0.453126570430029
ENSG00000013523	ANGEL1	-0.5	0.250768428099759
ENSG00000013561	RNF14	-0.1	0.757125000739171
ENSG00000013573	DDX11	1.6	3.01544963899408E-5
ENSG00000013583	HEBP1	-0.6	0.299100012890309
ENSG00000013588	GPRC5A	-3.2	4.36246461649573E-8
ENSG00000013619	MAMLD1	-1.3	0.180443848984968
ENSG00000013725	CD6	-0.3	0.752630521423709
ENSG00000013810	TACC3	2.0	4.05946705324562E-8
ENSG00000014138	POLA2	0.9	0.00312075554302904
ENSG00000014164	ZC3H3	-0.1	0.907263073597789
ENSG00000014216	CAPN1	-0.1	0.838886826044457
ENSG00000014257	ACPP	-0.4	0.75111408486807
ENSG00000014641	MDH1	0.5	0.161201863370175
ENSG00000014824	SLC30A9	0.4	0.542561850066876
ENSG00000014914	MTMR11	-0.4	0.571596688719967
ENSG00000014919	COX15	-0.3	0.377494436283367
ENSG00000015153	YAF2	0.3	0.424565719153013
ENSG00000015171	ZMYND11	-0.4	0.424380642261405
ENSG00000015285	WAS	-0.9	0.239061770654323
ENSG00000015413	DPEP1	-0.8	0.619203175905365
ENSG00000015475	BID	0.1	0.832586431375815
ENSG00000015479	MATR3	0.6	0.183360779710703
ENSG00000015520	NPC1L1	3.1	4.01607852260904E-4
ENSG00000015532	XYLT2	-0.1	0.917282559656951
ENSG00000015592	STMN4	1.5	0.202346180135404
ENSG00000016082	ISL1	1.4	0.172166389829206
ENSG00000016391	CHDH	0.9	0.0552106279663262
ENSG00000016402	IL20RA	-1.9	0.0698845789558501
ENSG00000016490	CLCA1	3.5	0.00616736348663441
ENSG00000016602	CLCA4	2.6	0.0478848509513301
ENSG00000016864	GLT8D1	-0.2	0.831839923562682
ENSG00000017260	ATP2C1	0.7	0.303003515364229
ENSG00000017427	IGF1	0.1	0.927443202863473
ENSG00000017483	SLC38A5	-0.8	0.490617603940734
ENSG00000017797	RALBP1	0.4	0.283923994480769
ENSG00000018189	RUFY3	0.2	0.631365129433466
ENSG00000018236	CNTN1	1.2	0.22608309806947
ENSG00000018280	SLC11A1	-2.7	1.87310051133762E-5
ENSG00000018408	WWTR1	-1.9	1.30352661535034E-4
ENSG00000018510	AGPS	-0.1	0.940359413717905
ENSG00000018607	ZNF806	1.5	0.379394154093644
ENSG00000018610	CXorf56	0.2	0.767843818791817
ENSG00000018625	ATP1A2	-0.8	0.466339773934292
ENSG00000018699	TTC27	-0.3	0.619778990551548
ENSG00000018869	ZNF582	1.1	0.267385075279135
ENSG00000019102	VSIG2	-2.1	0.0114277158350452
ENSG00000019144	PHLDB1	-1.1	5.39162499392302E-4
ENSG00000019169	MARCO	-2.4	0.0246630192077743
ENSG00000019186	CYP24A1	1.5	0.202681002040107
ENSG00000019485	PRDM11	-0.7	0.118754824664473
ENSG00000019505	SYT13	2.2	0.0014037242721403
ENSG00000019549	SNAI2	-0.4	0.718409383923957
ENSG00000019582	CD74	-2.1	7.4748119329206E-4
ENSG00000019991	HGF	-0.5	0.706120043456512
ENSG00000019995	ZRANB1	-0.3	0.578022962418906
ENSG00000020129	NCDN	0.1	0.933619915705365
ENSG00000020181	ADGRA2	-1.0	0.05856088164499
ENSG00000020219	CCT8L1P	3.5	0.00622859081622447
ENSG00000020256	ZFP64	0.4	0.464711224680505
ENSG00000020426	MNAT1	1.2	0.0177048251398855
ENSG00000020577	SAMD4A	-1.6	0.0177528836593375
ENSG00000020633	RUNX3	-1.0	0.118422283455691
ENSG00000020922	MRE11	0.9	0.00149947711024628
ENSG00000021300	PLEKHB1	0.6	0.306180111044414
ENSG00000021355	SERPINB1	-2.0	3.18511568871258E-4
ENSG00000021461	CYP3A43	1.2	0.339987194487198
ENSG00000021488	SLC7A9	2.6	0.0041087403607248
ENSG00000021574	SPAST	0.7	0.0384231074253287
ENSG00000021645	NRXN3	1.4	0.0339902779610357
ENSG00000021762	OSBPL5	-1.2	0.0216883360382876
ENSG00000021776	AQR	-0.2	0.634567754506344
ENSG00000021826	CPS1	0.9	0.223524185389495
ENSG00000021852	C8B	0.9	0.620922973643841
ENSG00000022267	FHL1	-2.4	2.44343583487148E-4
ENSG00000022277	RTF2	0.1	0.898536474152658
ENSG00000022355	GABRA1	0.6	0.70921118098893
ENSG00000022556	NLRP2	0.5	0.764164956888132
ENSG00000022567	SLC45A4	-0.2	0.729501843347235
ENSG00000022840	RNF10	-0.2	0.315842048265966
ENSG00000022976	ZNF839	0.2	0.739692739097109
ENSG00000023041	ZDHHC6	-0.3	0.478007902796488
ENSG00000023171	GRAMD1B	0.9	0.0559927333275517
ENSG00000023191	RNH1	-0.7	0.107919877300099
ENSG00000023228	NDUFS1	0.4	0.170401003283078
ENSG00000023287	RB1CC1	0.2	0.724252783574681
ENSG00000023330	ALAS1	-0.8	0.0463324343881968
ENSG00000023445	BIRC3	-1.7	0.0177049291629882
ENSG00000023516	AKAP11	-0.6	0.133447571136658
ENSG00000023572	GLRX2	0.2	0.916476769379169
ENSG00000023608	SNAPC1	0.7	0.347324022891904
ENSG00000023697	DERA	0.2	0.745940998394943
ENSG00000023734	STRAP	0.4	0.377986937073657
ENSG00000023839	ABCC2	0.6	0.57402715142371
ENSG00000023892	DEF6	-0.8	0.347027388559291
ENSG00000023902	PLEKHO1	0.1	0.845494038888438
ENSG00000024048	UBR2	-0.6	0.032426311888518
ENSG00000024422	EHD2	-2.6	5.73722519980029E-6
ENSG00000024526	DEPDC1	2.9	9.58165489924037E-9
ENSG00000024862	CCDC28A	-0.4	0.579907474026365
ENSG00000025039	RRAGD	1.0	0.0163948191035725
ENSG00000025156	HSF2	0.6	0.239566567533803
ENSG00000025293	PHF20	-0.1	0.746003649987336
ENSG00000025423	HSD17B6	-1.2	0.112443002136956
ENSG00000025434	NR1H3	-0.4	0.527193315181424
ENSG00000025708	TYMP	-1.0	0.119676870061272
ENSG00000025770	NCAPH2	0.7	0.1744470448809
ENSG00000025772	TOMM34	1.6	0.00453146149851084
ENSG00000025800	KPNA6	0.1	0.874670661842506
ENSG00000026025	VIM	-1.9	0.00260561870466564
ENSG00000026036	RTEL1-TNFRSF6B	0.4	0.498226384172793
ENSG00000026103	FAS	-1.6	0.023306752452255
ENSG00000026297	RNASET2	-0.3	0.663569433466472
ENSG00000026508	CD44	-1.7	0.00499176843817103
ENSG00000026559	KCNG1	1.2	0.186302232095974
ENSG00000026652	AGPAT4	0.2	0.596919231057999
ENSG00000026751	SLAMF7	-0.2	0.860385766528601
ENSG00000026950	BTN3A1	-1.3	0.00341893208136521
ENSG00000027001	MIPEP	0.4	0.674258017365084
ENSG00000027075	PRKCH	-1.3	0.00847432780042747
ENSG00000027644	INSRR	1.7	0.0532876286165062
ENSG00000027697	IFNGR1	-2.3	1.12690025067594E-6
ENSG00000027869	SH2D2A	-0.4	0.696410094446673
ENSG00000028116	VRK2	0.6	0.370913694720472
ENSG00000028137	TNFRSF1B	-1.6	0.0169108036913333
ENSG00000028203	VEZT	0.2	0.601004709609169
ENSG00000028277	POU2F2	1.4	8.11867686587937E-4
ENSG00000028310	BRD9	0.5	0.189276497962729
ENSG00000028528	SNX1	-0.6	0.0140479908471438
ENSG00000028839	TBPL1	0.5	0.518372365803211
ENSG00000029153	ARNTL2	1.2	0.014762490837335
ENSG00000029363	BCLAF1	0.1	0.919874033270665
ENSG00000029364	SLC39A9	0.1	0.856210863192513
ENSG00000029534	ANK1	1.6	0.00469648311972953
ENSG00000029559	IBSP	1.2	0.379570361216833
ENSG00000029639	TFB1M	0.9	0.113366632274254
ENSG00000029993	HMGB3	1.1	0.0241301886034065
ENSG00000030066	NUP160	0.3	0.398296992505234
ENSG00000030110	BAK1	0.1	0.85326213176308
ENSG00000030304	MUSK	-0.7	0.531550759321026
ENSG00000030582	GRN	-1.5	7.06831394105307E-4
ENSG00000031081	ARHGAP31	-2.8	7.48915336356104E-7
ENSG00000031691	CENPQ	0.7	0.372360089550368
ENSG00000031698	SARS	0.2	0.697719526991461
ENSG00000031823	RANBP3	0.7	0.0285479301346632
ENSG00000032389	EIPR1	0.8	0.0142479003181585
ENSG00000032444	PNPLA6	-0.5	0.264946584055586
ENSG00000032742	IFT88	-0.2	0.742734661533981
ENSG00000033011	ALG1	0.5	0.48311009298211
ENSG00000033030	ZCCHC8	0.5	0.0740949881501966
ENSG00000033050	ABCF2	0.1	0.827076664362502
ENSG00000033100	CHPF2	-0.2	0.786289178659408
ENSG00000033122	LRRC7	2.1	0.0036024730069202
ENSG00000033170	FUT8	0.5	0.266030187165074
ENSG00000033178	UBA6	0.3	0.575693212872084
ENSG00000033327	GAB2	-0.4	0.206329968878114
ENSG00000033627	ATP6V0A1	0.1	0.782626533484042
ENSG00000033800	PIAS1	-0.8	0.0478216029612764
ENSG00000033867	SLC4A7	-0.7	0.175443671742616
ENSG00000034053	APBA2	0.7	0.253531029949746
ENSG00000034152	MAP2K3	-1.3	0.0201560275051022
ENSG00000034239	EFCAB1	-0.3	0.759606230744552
ENSG00000034510	TMSB10	-0.5	0.372826494366137
ENSG00000034533	ASTE1	0.6	0.344202198468588
ENSG00000034677	RNF19A	-0.7	0.078834061678634
ENSG00000034693	PEX3	-0.2	0.819492771790911
ENSG00000034713	GABARAPL2	0.2	0.760432789772509
ENSG00000035115	SH3YL1	0.3	0.354225619324054
ENSG00000035141	FAM136A	0.9	0.0935914056881647
ENSG00000035403	VCL	-2.2	4.36246461649573E-8
ENSG00000035499	DEPDC1B	1.5	0.00911256517685783
ENSG00000035664	DAPK2	-2.0	1.91531429440798E-4
ENSG00000035681	NSMAF	-0.3	0.457147830977404
ENSG00000035720	STAP1	0.1	0.950204996507155
ENSG00000035862	TIMP2	-1.2	0.00308779599893115
ENSG00000035928	RFC1	0.3	0.515390149030862
ENSG00000036054	TBC1D23	-0.1	0.869313280001732
